Name,Address,City,State,Zip,Visit Index,geofence,the_geom
Macy's,3107 PGA Boulevard,Palm Beach Gardens,FL,33410,4994,"POLYGON((26.84664764934335 -80.0849126760566,26.846983269366177 -80.08492340464318,26.847026638429003 -80.08499850645427,26.848151689864014 -80.08499314232705,26.848175620706893 -80.08577229814841,26.846628504411022 -80.08587422209098,26.84664764934335 -80.0849126760566))","POLYGON((-80.0849126760566 26.84664764934335,-80.08492340464318 26.846983269366177,-80.08499850645427 26.847026638429003,-80.08499314232705 26.848151689864014,-80.08577229814841 26.848175620706893,-80.08587422209098 26.846628504411022,-80.0849126760566 26.84664764934335))"
Macy's,4301 Kent Rd ,Stow,OH,44224,4988,"POLYGON((41.15773681688734 -81.40242340625008,41.158846528898685 -81.40243413508614,41.15886268411684 -81.4034896387023,41.157744894633666 -81.40351109637442,41.15773681688734 -81.40242340625008))","POLYGON((-81.40242340625008 41.15773681688734,-81.40243413508614 41.158846528898685,-81.4034896387023 41.15886268411684,-81.40351109637442 41.157744894633666,-81.40242340625008 41.15773681688734))"
Macy's,24100 Laguna Hills Mall,Laguna Hills,CA,92653-3613,4980,"POLYGON((33.61218709968423 -117.70816665523364,33.612538826021556 -117.70861726634814,33.61201166083154 -117.70925418405318,33.611663796806205 -117.70880893688116,33.611723293161354 -117.70873115305483,33.61165769857635 -117.70865336923384,33.61170125684992 -117.70859508540309,33.61166719184296 -117.70854716788097,33.61197182109419 -117.70818793296314,33.612016915202375 -117.70824166712805,33.612084137404764 -117.70816929250071,33.61213338479005 -117.70822698246627,33.61218709968423 -117.70816665523364))","POLYGON((-117.70816665523364 33.61218709968423,-117.70861726634814 33.612538826021556,-117.70925418405318 33.61201166083154,-117.70880893688116 33.611663796806205,-117.70873115305483 33.611723293161354,-117.70865336923384 33.61165769857635,-117.70859508540309 33.61170125684992,-117.70854716788097 33.61166719184296,-117.70818793296314 33.61197182109419,-117.70824166712805 33.612016915202375,-117.70816929250071 33.612084137404764,-117.70822698246627 33.61213338479005,-117.70816665523364 33.61218709968423))"
Macy's,1 Serramonte Ctr ,Daly City,CA,94015,4979,"POLYGON((37.67310044273081 -122.47057151362662,37.6739365478861 -122.470458860848,37.67399599110094 -122.47135963981577,37.67315564062527 -122.4714722925944,37.67310044273081 -122.47057151362662))","POLYGON((-122.47057151362662 37.67310044273081,-122.470458860848 37.6739365478861,-122.47135963981577 37.67399599110094,-122.4714722925944 37.67315564062527,-122.47057151362662 37.67310044273081))"
Macy's,3450 Wrightsboro Rd,Augusta,GA,30909,4954,"POLYGON((33.46440196624521 -82.0800837782831,33.4645462404642 -82.08018436096938,33.464538943766534 -82.08019643095179,33.46466366373949 -82.08028494395921,33.46454339434026 -82.0805309186411,33.46448974177094 -82.0804906853524,33.46449983545404 -82.08046989821145,33.464299597109274 -82.08032908241273,33.46431526020107 -82.08029628442273,33.46430407232444 -82.08028592037863,33.46440196624521 -82.0800837782831))","POLYGON((-82.0800837782831 33.46440196624521,-82.08018436096938 33.4645462404642,-82.08019643095179 33.464538943766534,-82.08028494395921 33.46466366373949,-82.0805309186411 33.46454339434026,-82.0804906853524 33.46448974177094,-82.08046989821145 33.46449983545404,-82.08032908241273 33.464299597109274,-82.08029628442273 33.46431526020107,-82.08028592037863 33.46430407232444,-82.0800837782831 33.46440196624521))"
Macy's,1000 Northgate Dr ,San Rafael,CA,94903,4942,"POLYGON((38.00424518026335 -122.54314518354943,38.00491159351006 -122.54293060682824,38.00496284594089 -122.5431698787088,38.005009871253506 -122.54315702309202,38.00513773574709 -122.54377504313504,38.005080672073944 -122.54378799557168,38.00513562077385 -122.54401774899145,38.00426208815893 -122.544296698729,38.00407082007973 -122.54328328566044,38.004251522749726 -122.54322473468244,38.00424518026335 -122.54314518354943))","POLYGON((-122.54314518354943 38.00424518026335,-122.54293060682824 38.00491159351006,-122.5431698787088 38.00496284594089,-122.54315702309202 38.005009871253506,-122.54377504313504 38.00513773574709,-122.54378799557168 38.005080672073944,-122.54401774899145 38.00513562077385,-122.544296698729 38.00426208815893,-122.54328328566044 38.00407082007973,-122.54322473468244 38.004251522749726,-122.54314518354943 38.00424518026335))"
Macy's,15900 La Cantera Pkwy ,San Antonio,TX,78256,4941,"POLYGON((29.59083306948286 -98.61489353967875,29.591878818727587 -98.61571966005533,29.591412346668882 -98.61642873938916,29.590469217690917 -98.61558116134046,29.59083306948286 -98.61489353967875))","POLYGON((-98.61489353967875 29.59083306948286,-98.61571966005533 29.591878818727587,-98.61642873938916 29.591412346668882,-98.61558116134046 29.590469217690917,-98.61489353967875 29.59083306948286))"
Macy's,4300 Ashford Dunwoody Rd NE,Atlanta,GA,30346,4937,"POLYGON((33.921912930522474 -84.34074889129016,33.92200253177353 -84.34071955416596,33.922066537584605 -84.34074654346989,33.92210329588824 -84.34078711109123,33.92212152745389 -84.34084720941922,33.922114163576886 -84.34088048566156,33.92211056425279 -84.34090948721837,33.92212339680407 -84.3409111639528,33.92296707430239 -84.3405745477042,33.92318630217908 -84.34134334299898,33.92304197780194 -84.34140206172879,33.92306346532207 -84.34148357914341,33.92296399787317 -84.34152323223077,33.922905279927164 -84.34151938987355,33.92278561843962 -84.34157071352058,33.9227555084375 -84.34160362325906,33.92264854950035 -84.34164262036609,33.92262394073023 -84.34155689458578,33.92256934851516 -84.34157974585497,33.9225765504077 -84.34160860582625,33.922472468413424 -84.34165355900961,33.922460834930824 -84.34161642783516,33.92232011207335 -84.34167049137392,33.922344089673075 -84.34175942353181,33.92215946116505 -84.34183268133995,33.92216624167098 -84.34185765928328,33.921942863931925 -84.34194487262789,33.921901992808706 -84.34180409845868,33.92184442900054 -84.34182828013695,33.92185363605091 -84.34185782621802,33.921783630991975 -84.34201624345201,33.921719190291604 -84.34201775152479,33.92167917999833 -84.34200643563435,33.921646933497655 -84.34198066113242,33.92161691268949 -84.3419414756093,33.9214338514315 -84.34128089690881,33.92143532091728 -84.34123191393525,33.92144680598596 -84.34115342662096,33.92146532467092 -84.34111178694377,33.92144560625816 -84.34102448423948,33.92151968039731 -84.34099471790012,33.921512029264846 -84.34097810057659,33.921538876472 -84.34092661440621,33.92157907788276 -84.34088049261533,33.921912930522474 -84.34074889129016))","POLYGON((-84.34074889129016 33.921912930522474,-84.34071955416596 33.92200253177353,-84.34074654346989 33.922066537584605,-84.34078711109123 33.92210329588824,-84.34084720941922 33.92212152745389,-84.34088048566156 33.922114163576886,-84.34090948721837 33.92211056425279,-84.3409111639528 33.92212339680407,-84.3405745477042 33.92296707430239,-84.34134334299898 33.92318630217908,-84.34140206172879 33.92304197780194,-84.34148357914341 33.92306346532207,-84.34152323223077 33.92296399787317,-84.34151938987355 33.922905279927164,-84.34157071352058 33.92278561843962,-84.34160362325906 33.9227555084375,-84.34164262036609 33.92264854950035,-84.34155689458578 33.92262394073023,-84.34157974585497 33.92256934851516,-84.34160860582625 33.9225765504077,-84.34165355900961 33.922472468413424,-84.34161642783516 33.922460834930824,-84.34167049137392 33.92232011207335,-84.34175942353181 33.922344089673075,-84.34183268133995 33.92215946116505,-84.34185765928328 33.92216624167098,-84.34194487262789 33.921942863931925,-84.34180409845868 33.921901992808706,-84.34182828013695 33.92184442900054,-84.34185782621802 33.92185363605091,-84.34201624345201 33.921783630991975,-84.34201775152479 33.921719190291604,-84.34200643563435 33.92167917999833,-84.34198066113242 33.921646933497655,-84.3419414756093 33.92161691268949,-84.34128089690881 33.9214338514315,-84.34123191393525 33.92143532091728,-84.34115342662096 33.92144680598596,-84.34111178694377 33.92146532467092,-84.34102448423948 33.92144560625816,-84.34099471790012 33.92151968039731,-84.34097810057659 33.921512029264846,-84.34092661440621 33.921538876472,-84.34088049261533 33.92157907788276,-84.34074889129016 33.921912930522474))"
Macy's,100 Almeda Mall ,Houston,TX,77075,4937,"POLYGON((29.62456458894608 -95.22744392184865,29.625675822286826 -95.22793744830739,29.62522815923793 -95.22914068661078,29.62418220599846 -95.22861497364386,29.62456458894608 -95.22744392184865))","POLYGON((-95.22744392184865 29.62456458894608,-95.22793744830739 29.625675822286826,-95.22914068661078 29.62522815923793,-95.22861497364386 29.62418220599846,-95.22744392184865 29.62456458894608))"
Macy's,4650 S Hulen St ,Fort Worth,TX,76132,4935,"POLYGON((32.67878865090466 -97.3968905152609,32.678921493389765 -97.39681273187733,32.67890438203718 -97.39676311109832,32.679166742863444 -97.3966149190349,32.67920084503337 -97.396661522116,32.679435876464396 -97.39653109925291,32.679975447863605 -97.39789281084222,32.67973423804683 -97.39802960559416,32.67974909097519 -97.3980765444847,32.679481087334885 -97.39821803097925,32.679464482653415 -97.39819221407237,32.67929814632098 -97.398270500786,32.67882477320288 -97.39708814813775,32.678860895749665 -97.39705906856977,32.67878865090466 -97.3968905152609))","POLYGON((-97.3968905152609 32.67878865090466,-97.39681273187733 32.678921493389765,-97.39676311109832 32.67890438203718,-97.3966149190349 32.679166742863444,-97.396661522116 32.67920084503337,-97.39653109925291 32.679435876464396,-97.39789281084222 32.679975447863605,-97.39802960559416 32.67973423804683,-97.3980765444847 32.67974909097519,-97.39821803097925 32.679481087334885,-97.39819221407237 32.679464482653415,-97.398270500786 32.67929814632098,-97.39708814813775 32.67882477320288,-97.39705906856977 32.678860895749665,-97.3968905152609 32.67878865090466))"
